Player,Team,Attacking Impact ML,Defensive Impact ML,Misc Impact,Total Impact (ML)
Vitaly Janelt,Brentford,2.49,-1.73,0.35,1.11
Bart Verbruggen,Brighton,3.26,-3.09,0.93,1.1
Victor Bernth Kristiansen,Leicester City,2.23,-1.62,0.47,1.08
Leny Yoro,Manchester Utd,2.71,-2.49,0.86,1.08
Ollie Watkins,Aston Villa,4.04,-2.48,-0.49,1.07
Jacob Ramsey,Aston Villa,2.98,-1.93,0.01,1.06
Morgan Rogers,Aston Villa,3.51,-1.76,-0.7,1.05
Dan Burn,Newcastle Utd,2.73,-2.49,0.81,1.05
Dango Ouattara,Bournemouth,3.49,-1.88,-0.56,1.05
Konstantinos Mavropanos,West Ham,2.11,-2.21,1.14,1.04
Leon Bailey,Aston Villa,3.58,-2.2,-0.34,1.04
Jordan Pickford,Everton,2.23,-2.38,1.19,1.04
Kobbie Mainoo,Manchester Utd,2.55,-1.29,-0.23,1.03
Marshall Munetsi,Wolves,3.09,-1.31,-0.75,1.03
Yasin Ayari,Brighton,2.53,-1.46,-0.06,1.01
Ryan Manning,Southampton,2.58,-2.32,0.74,1.0
Archie Gray,Tottenham,2.28,-2.23,0.94,0.99
Matheus Nunes,Manchester City,3.04,-2.47,0.41,0.98
Diogo Dalot,Manchester Utd,2.47,-1.62,0.11,0.96
Andreas Pereira,Fulham,2.97,-2.06,0.05,0.96
Wilson Odobert,Tottenham,2.82,-1.55,-0.31,0.96
Dwight McNeil,Everton,3.13,-2.45,0.28,0.96
Georginio Rutter,Brighton,3.64,-2.25,-0.44,0.95
Kyle Walker,Manchester City,2.63,-2.8,1.11,0.94
Dejan Kulusevski,Tottenham,3.98,-2.31,-0.74,0.93
Nélson Semedo,Wolves,2.8,-1.89,0.01,0.92
Bobby De Cordova-Reid,Leicester City,2.89,-1.67,-0.31,0.91
Santiago Bueno,Wolves,2.58,-2.25,0.57,0.9
Edson Álvarez,West Ham,2.37,-1.49,0.02,0.9
Radu Drăgușin,Tottenham,3.36,-3.78,1.32,0.9
Max Kilman,West Ham,2.48,-2.6,1.01,0.89
Issa Diop,Fulham,1.66,-1.63,0.85,0.88
Matz Sels,Nott'ham Forest,2.72,-2.48,0.64,0.88
Tariq Lamptey,Brighton,3.27,-2.59,0.17,0.85
Álex Moreno,Nott'ham Forest,2.16,-1.09,-0.24,0.83
Ryan Yates,Nott'ham Forest,2.45,-1.55,-0.07,0.83
Rodrigo Gomes,Wolves,3.39,-2.34,-0.22,0.83
Orel Mangala,Everton,2.01,-1.34,0.15,0.82
André Onana,Manchester Utd,2.45,-2.61,0.98,0.82
Chris Wood,Nott'ham Forest,3.46,-2.18,-0.47,0.81
Vitaliy Mykolenko,Everton,2.44,-2.05,0.4,0.79
Ibrahim Sangaré,Nott'ham Forest,2.4,-1.75,0.14,0.79
Emerson Palmieri,West Ham,2.68,-1.99,0.09,0.78
Timo Werner,Tottenham,4.24,-3.4,-0.07,0.77
Kristoffer Ajer,Brentford,2.55,-1.78,-0.01,0.76
Raúl Jiménez,Fulham,2.92,-1.67,-0.5,0.75
Alejandro Garnacho,Manchester Utd,2.86,-2.15,0.04,0.75
Mikel Merino,Arsenal,3.16,-1.93,-0.57,0.66
Mathys Tel,Tottenham,3.09,-2.07,-0.37,0.65
Eddie Nketiah,Crystal Palace,3.34,-2.0,-0.71,0.63
Axel Tuanzebe,Ipswich Town,2.65,-2.35,0.31,0.61
Matheus Cunha,Wolves,3.28,-2.65,-0.02,0.61
Ethan Pinnock,Brentford,2.33,-2.68,0.93,0.58
Kevin Danso,Tottenham,2.43,-3.2,1.34,0.57
Mario Lemina,Wolves,2.73,-2.32,0.16,0.57
Tomáš Souček,West Ham,3.0,-2.32,-0.16,0.52
Lucas Paquetá,West Ham,2.52,-2.11,0.09,0.5
Jean-Philippe Mateta,Crystal Palace,3.54,-2.44,-0.6,0.5
Vladimír Coufal,West Ham,2.47,-2.15,0.09,0.41
David Brooks,Bournemouth,3.14,-2.66,-0.08,0.4
Simon Adingra,Brighton,3.3,-2.3,-0.6,0.4
Tyler Dibling,Southampton,2.56,-2.03,-0.13,0.4
José Sá,Wolves,2.65,-3.03,0.75,0.37
Crysencio Summerville,West Ham,2.76,-2.51,0.12,0.37
Nathan Broadhead,Ipswich Town,2.96,-2.53,-0.07,0.36
Pablo Sarabia,Wolves,3.42,-2.94,-0.16,0.32
Dominic Solanke,Tottenham,3.98,-2.97,-0.7,0.31
